index,question,reference_answer,qwen_baseline_answer,qwen_baseline_error,llama_baseline_answer,llama_baseline_error,llama_finetuned_answer,llama_finetuned_error,notes
0,Anayasanın 90. Maddesi Nasıl Uygulanır?,Milletlerarası antlaşmaların TBMM tarafından onaylanmasıyla uygulanır.,"Anayasanın 90. Maddesi, ""Hükümetin veya diğer kurumların işbirliği konusunda belirlenen yasal düzenlerin uygulanması"" anlamına gelir. Bu maddi, hükümetin veya diğer kurumlardan gelen bir talep üzerine, bu kurumlar tarafından sağlanan yasa veya düzenlere göre hareket etmesini gerektirir.

Bu maddi, genellikle şu",,"Anayasanın 90. maddesi, kamuoyuoyunda ve kamuoyuoyunda yaptırılmış bir suçu işleyen bir kamu görevlisinin, kamu görevinden menetimi ve aylıktan feragat etmesi gerektiği hususunda hük",,Yabancıların Türkiye'de haklarını arama ve bu hakların korunması için Anayasa Mahkemesi'ne başvurularıyla uygulanır.,,
50,İdarenin bazı görevleri kanunla düzenlenmemiş ve bir bütün olarak ele alınmamıştır. Bu durum Anayasanın 123. Maddesi ile nasıl çelişir?,"Anayasanın 123. Maddesi, idarenin tüm görevlerinin kanunla düzenlenmesini ve bir bütün olarak ele alınmasını öngörür. Bu durum maddeye aykırıdır.","Bu durum Anayasanın 123. Maddesiyle çelişmektedir. 123. Maddesinin temel amacı, idaricilerin görevlerini kanunlarla düzenlemek ve bu görevlere yönelik yasal sınırları belirlemektir. Eğer idarenin bazı görevleri kanunla düzenlenmemiş veya bir bütün olarak ele alınmamışsa, bu durum 123. Madd",,"Anayasanın 123. maddesi, idarenin görev ve yetkileri ile yetki alanlarını düzenler. Bu madde, idarenin görev ve yetkilerini kanunla düzenlenmemiş ve bir bütün olarak ele alınmayan idareler için de applicable olur.",,"Anayasanın 123. Maddesi, idarenin bazı görevlerinin kanunla düzenlenmesini ve bir bütün olarak ele alınmasını öngörür. Bu durum maddeye aykırıdır.",,
100,Yerleşme ve Seyahat Hürriyeti Hangi Anayasa Maddesinde Belirtilmiştir?,23. maddede.,"Yerleşme ve Seyahat Hürriyeti, ""Yerleşik Hukuku"" (Habeas Corpus) anayasa maddeinde belirlenmiştir.",,"Yerleşme ve Seyahat Hürriyeti, 34. maddede belirlenmiştir.",,23. maddede.,,
150,Cumhurbaşkanı yardımcıları ve bakanlar nasıl atanır?,"Cumhurbaşkanı yardımcıları ve bakanlar, cumhurbaşkanı tarafından atanır ve görevden alınır.","Cumhurbaşkanı yardımcıları ve bakanlar, devletin yönetimi ve işlevlerini yerine getirmek için seçilen kişiler tarafından seçilir. Bu görevliler, devletin temel kurumları olan Bakanlık ve Diyanet gibi önemli kurumlarda görev yaparlar.",,"Cumhurbaşkanı yardımcıları ve bakanlar, cumhurbaşkanı tarafından atanan ve cumhurbaşkanı tarafından görevden alinan people's meclis üyeleri tarafından seçilen people's meclis üyeleri tarafından atanır.",,"Cumhurbaşkanı yardımcıları ve bakanlar, milletvekili seçilme yeterliliğine sahip olanlar arasından cumhurbaşkanı tarafından atanır. (madde 106)",,
200,Kamu denetçiliği kurumu'nun inceleme süreci nasıldır,"Kamu denetçiliği kurumu, yapılan başvuruları bağımsız ve tarafsız bir şekilde inceler, ilgili kamu idaresinden bilgi ve belgeler talep eder ve şikayetin çözümü için önerilerde bulunur.","Kamu denetçiliği kurumu'nun inceleme süreci, belirli bir tür suçlar veya etik sorumlulukları olan personelin veya kuruluşunun durumunu değerlendirmek için kullanılan bir süreçdir. Bu süreç genellikle aşağıdaki aşamalara göre devam eder:

1. İncelemeye alınan kişi veya kuruluş hakkında bilgiye erişim:
   - Belirlenen türdeki suç veya",,"Kamu denetçiliği kurumu, kamu kurum ve kuruluşlarının işleyişini denetlemek ve denetleme işlemlerini gerçekleştiren bir kurumdur. Kamu denetçiliği kurumu'nun inceleme süreci, aşağıdaki adımları içer",,"Kamu denetçiliği kurumu, şikayet üzerine veya resmi başvuru üzerine inceleme yapar. i̇nceleme sonucunda rapor hazırlanır ve öneriler sunulur.",,
250,"Anayasa madde 164, kesin hesap kanunu tasarısının hazırlanması ve sunulmasının ihlali durumunda ne tür hukuki mekanizmalar devreye girer","Anayasa madde 164'e göre, kesin hesap kanunu tasarısının hazırlanması ve sunulmasının ihlali durumunda, ilgili kişiler ve kurumlar, hukuki yollara başvurarak haklarını arama ve ihlallerin giderilmesini talep etme hakkına sahiptir. devlet, kesin hesap kanunu tasarısının hazırlanması ve sunulmasını sağlamak ve ihlallerin engellenmesini sağlamakla yükümlüdür.","İhlal edilen kesin hesap kanunun hazırlanması ve sunulması, Anayasa Madde 164'ün kapsamına dahil olur. Bu durumda, hukuki mekanizmalar genellikle şu şekilde devreye gelir:

1. Hükümetin (ve hükümetin temsilcilerinin) görevlerini yerine getirmesi gerekiyor.

2. Hükümetin veya hükümet",,"Anayasa Muhakemeleri Yargısı (AYM) tarafından, Anayasa Muhakemeleri Kanunu'nun (AMK) 164. maddesi, kesin hesap kanunu tasarısının hazırlanması ve sunulmasının ihlali durumunda, Anayasa",,"Anayasa madde 164'e göre, kesin hesap kanunu tasarısının hazırlanması ve sunulmasının ihlali durumunda, tbmm üyelerinin ve ilgili kişilerin hukuki yollara başvurarak haklarını arama ve ihlallerin giderilmesini talep etme hakkı vardır. devlet, kesin hesap kanunu tasarısının hazırlanması ve sunulmasını sağlamak ve ihlallerin engellenmesini sağlamakla yükümlüdür.",,
300,"Cumhurbaşkanı, TBMM'ye hangi raporları sunar?","Cumhurbaşkanı, TBMM'ye mali yıl içinde bütçenin uygulanmasına ve ekonomik durumun gelişimine ilişkin raporları sunar.","Cumhurbaşkanı, Türkiye Büyük Millet Meclisi (TBMM) 'ye aşağıdaki raporları sunar:

1. Genel raporu: Bu rapor, TBMM'nin genel bir rapora sahip olma durumuna işaret eder.

2. Hükümet raporu: Bu rapor, hükümetin TBMM'ye sunduğu raporlar hakkında bilgi verir.

3. Sosyal raporu: Bu rapor, TBMM'nin sos",,"Cumhurbaşkanı, TBMM'ye yıllık bütçe raporu, devlet bütçe raporu, kamu mali durum raporu, kamu harç raporu, kamu harç programı raporu, kamu harç planı raporu, kamu harç programı raporu, kamu",,"Cumhurbaşkanı, TBMM'ye yıllık çalışma ve bütçe haberi, anayasa değişikliği ve kanun hükmünde kararnamelerin TBMM'ye sunulmasından sonra tbmm'nin tatil olması arasında sunar. (madde 104)",,
350,"Anayasa madde 45, tarım arazilerinin korunması ve geliştirilmesi hakkının korunması için ne tür tedbirler alınacağını düzenler","Anayasa madde 45, tarım arazilerinin korunması ve geliştirilmesi hakkının korunması için devletin, bu hakkı ihlal eden eylem ve işlemleri önlemek ve gerekli hukuki ve idari tedbirleri almakla yükümlü olduğunu düzenler. devlet, tarım arazilerinin korunması ve geliştirilmesi hakkını korumak zorundadır.","Anayasa Madde 45, tarım arazilerinin korunması ve geliştirilmesi hakkının korunmasını sağlamak için düzenlenmiştir. Bu tedbir, tarım araziye yönelik belirli kısıtlamalar ve düzenlemeler sunar. Bazı önemli noktalar arasında:

1. Tarım arazilerindeki doğal kaynakların korunması ve kullanımını düzenleyerek, bu kaynakların sürekli kullanılabilirliğini sağlar.

2",,"Anayasa madde 45, tarım arazilerinin korunması ve geliştirilmesi hakkının korunması için, tarım arazilerinin korunması ve geliştirilmesi için kamu kuruluşları tarafından alınacak tedbirleri düzenler.",,"Anayasa madde 45, tarım arazilerinin korunması ve geliştirilmesi hakkının korunması için devletin, bu hakkı ihlal eden eylem ve işlemleri önlemek ve gerekli hukuki ve idari tedbirleri almakla yükümlü olduğunu düzenler. devlet, tarım arazilerinin korunması ve geliştirilmesi hakkını korumak zorundadır.",,
400,Anayasanın 163. Maddesinin Kapsamı Nedir?,"Bütçe kanununa, bütçe ile ilgili hükümler dışında hiçbir hüküm konulamayacağını düzenler.","Anayasanın 163. Maddesi, ""Kendine ait bir yasa veya yasal düzeni"" olarak tanımlanır. Bu, genellikle bir ülkenin anayasası veya yasalarının temel bir parçasıdır.",,"Anayasanın 163. maddesi, kamuoyu ve basında kamuoyu ve basında kamuoyu ile kamuoyu arasında bir fark oluşturulmaması ve kamuoyu ve basında kamuoyu ile kamuoyu arasında bir fark oluşt",,"Bakanlar Kurulunun, bütçe kanun tasarılarını değiştirme yetkisini düzenler.",,
450,Ceza hukukunda suçun unsurları nelerdir ve nasıl değerlendirilir?,"Kamu düzeni, toplumun huzur, güvenlik ve sağlığını korumak amacıyla alınan tedbirler ve uygulanan kurallar bütünüdür. kamu düzeni, idare tarafından yürütülen kamu hizmetlerinin düzenli ve etkin bir şekilde yürütülmesini sağlar. kamu düzeninin korunması, kolluk kuvvetleri, idari makamlar ve yargı organları tarafından sağlanır.","Çoklu unsurların belirlenmesi, suçun türüne bağlıdır. Örneğin, yolsuzluk suçunun unsurları, insanın yolsuzluk yapma yetkisini korumak için gereken unsurlardır. Bu unsurlar arasında:

1. Yolsuzluk: İnsanın yolsuzluk yapma yetkisi koruması için gereken unsurlar.

2.",,"Ceza hukukunda, bir suçu işlemek için üç temel unsuru oluşturan unsurlar vardır. Bu unsurlar:

1. Suç: Bu, ceza hukukunda bir eylem, bir durum veya bir durumun bir sonucu olarak tanımlanır",,"Suçun unsurları, maddi unsur, manevi unsur, hukuki unsur ve cezalandırma yetkisi unsurlarını ifade eder. bu unsurların her biri missing veya hatalı ise, suçun oluşmaması anlamına gelir.",,
