index,model_name,question,reference_answer,model_answer,error
0,meta-llama/Llama-3.2-3B-Instruct,Anayasanın 90. Maddesi Nasıl Uygulanır?,Milletlerarası antlaşmaların TBMM tarafından onaylanmasıyla uygulanır.,"Anayasanın 90. maddesine göre, yargıçların ve yargıç adaylarının görevden alınıp atılması, yargıçların ve yargıç adaylarının görevden alınmasına ilişkin yasa ve yönetmeliklerin değiştirilmesi, yargıçların ve yargıç adaylarının görevden alınmasına ilişkin yasa ve yönetmeliklerin değiştirilmesi, yargıçların ve y",
1,meta-llama/Llama-3.2-3B-Instruct,Hukukta 'legitimate expectation' nedir?,"Legitimate expectation, bir kişinin belirli bir eylem veya karar beklentisinin hukuken korunabilir olduğuna dair bir ilkeyi ifade eder. bu beklenti genellikle devlet veya kamu organlarının tutarlı davranışlarına dayanır.","Hukukta 'legitimate expectation' (hukuki beklenen) bir kavramdır. Hukuki beklenen, bir bireyin bir hukuki statüde being bulunduğunda, o statüye bağlı olan hak ve yükümlülüklerini kullanma hakkını ifade eder. Hukuki beklenen, bir bireyin bir hukuki statüde being bulunduğunda, o statüye bağlı olan hak ve yükümlülük",
2,meta-llama/Llama-3.2-3B-Instruct,"Anayasa madde 172'ye göre, devletin sanayi ve ticareti destekleme konusundaki görevleri nelerdir?","Anayasa madde 172'ye göre, devlet, sanayi ve ticaretin geliştirilmesi ve rekabet gücünün artırılması için gerekli tedbirleri alır. i̇şletmelerin verimliliğini ve yenilikçiliğini artırmak için teşvik ve destekler sağlanır.","Anayasa madde 172'ye göre, devletin sanayi ve ticareti destekleme konusundaki görevleri; sanayi ve ticareti geliştirmek, sanayi ve ticareti geliştirmek, sanayi ve ticareti geliştirmek, sanayi ve ticareti geliştirmek, sanayi ve ticareti geliştirmek, sanayi ve ticareti geliştirmek, sanayi ve tic",
3,meta-llama/Llama-3.2-3B-Instruct,"Anayasa madde 158, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale hangi durumlarda yasaktır","Anayasa madde 158'e göre, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale, uyuşmazlık mahkemesi'nin adli, idari ve askeri yargı mercileri arasındaki görev ve hüküm uyuşmazlıklarını kesin olarak çözmemesi veya anayasa mahkemesi başkanı'nın başkanlığında çalışmaması durumunda yasaktır. devlet, bu tür müdahaleleri önlemek ve uyuşmazlık mahkemesi'nin kuruluşu ve görevlerini korumakla yükümlüdür.","Anayasa madde 158, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale hangi durumlarda yasaktır. Anayasa 158. maddesi, uyuşmazlık mahkemesinin kuruluşu, görevleri ve yetkileri ile ilgili olarak, uyuşmazlık mahkemesinin kurulması, görevleri ve yetkileri ile ilgili olarak, uyuşmazlık mahkemesinin kurulması",
4,meta-llama/Llama-3.2-3B-Instruct,"Bir grup avukat, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılamayacağını belirten Anayasa maddesinin iptali için başvuruda bulunmuştur. Bu başvuru Anayasanın 94. Maddesi ile nasıl çelişir?","Anayasanın 94. Maddesi, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılamayacağını belirtir. Bu maddeye aykırı bir başvuru Anayasa'ya aykırıdır.","Anayasanın 94. Maddesi, cumhurbaşkanı için seçimlere katılamama koşulu olarak, cumhurbaşkanı için seçimlere katılamayacağını belirten bir madde değildir. Bu nedenle, bu başvuru Anayasanın 94. Maddesi ile çelişir.",
5,meta-llama/Llama-3.2-3B-Instruct,Grev ve lokavt hakkının önemi nedir,"Grev ve lokavt hakkı, çalışanların ve işverenlerin toplu iş uyuşmazlıklarında haklarını savunmalarını ve taleplerini dile getirmelerini sağlar. bu haklar, işçi-işveren ilişkilerinin dengeli ve adil bir şekilde yürütülmesini destekler.","Grev ve lokavt hakkının önemi, işçi ve işverenlerin hak ve özgürlüklerini koruması ve işçi ve işverenlerin hak ve özgürlüklerini korumasıdır. Grev ve lokavt, işçi ve işverenlerin hak ve özgürlüklerini koruması ve işçi ve işverenlerin hak ve özgürlüklerini korumasıdır. Grev ve lokavt, iş",
6,meta-llama/Llama-3.2-3B-Instruct,"Cumhurbaşkanlığı seçimleri, Cumhurbaşkanının görev süresi dolmasına yetmiş gün kala tamamlanmıştır. Bu durum Anayasanın 102. Maddesi ile nasıl çelişir?","Anayasanın 102. Maddesi, seçimlerin görev süresinin dolmasından önceki altmış gün içinde tamamlanmasını öngörür. Yetmiş gün kala tamamlanması bu maddeye aykırıdır.","Cumhurbaşkanlığı seçimleri, Cumhurbaşkanının görev süresi dolmasına yetmiş gün kala tamamlanmıştır. Bu durum Anayasanın 102. Maddesi ile çelişir. Anayasanın 102. Maddesi, cumhurbaşkanlığı seçimleri için 100 gün süreyle tamamlanması gerektiği belirtir. Bu nedenle cumhurbaşkanlığı seçimleri, cumhurbaşkanının görev süresi dolmasına yetmiş gün k",
7,meta-llama/Llama-3.2-3B-Instruct,Türk ceza kanunu'na göre kasten öldürme suçu nedir?,Bir kişiyi öldürme kastıyla işlenen suçtur.,"Türk ceza kanunu'na göre kasten öldürme suçu, bir kişiye karşı bir başka kişi tarafından intikam olarak yapılan intihara verilen addır. Bu suçu işleyen kişi, intikam amacını gerçekleştirmek için intikam cezası olarak ceza yaptırılır.",
8,meta-llama/Llama-3.2-3B-Instruct,"Bir milletvekili, bir kamu idaresinin faaliyetlerini denetlemek için verdiği soru önergesine cevap alamamıştır. Bu durum Anayasanın 98. Maddesi'ne aykırı mıdır?","Evet, Anayasanın 98. Maddesi, verilen soru önergelerinin cevaplandırılmasını öngörür. Cevap alınamaması bu maddeye aykırıdır.","Hayır, bu durum Anayasanın 98. Maddesi'ne aykırı değildir. Anayasanın 98. Maddesi, milletvekillerinin kamu idareleri ile ilgili sorular sorma yetkisini tanır. Bu yetki, kamu idarelerinin faaliyetlerini denetlemek için verilir. Bu nedenle, milletvekili, kamu idaresinin faaliyetlerini denetlemek için verdiği soru önergesine cevap alamamış olmasının Anayasanın",
9,meta-llama/Llama-3.2-3B-Instruct,"Sanık, bir finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, hangi suçlamalar gündeme gelir?","Sanık, finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, 'mali dolandırıcılık', 'yanıltıcı tavsiyelerde bulunma' ve 'ticari etik kurallarının ihlali' suçlarıyla karşılaşabilir. Bu suçlar, hapis cezası ve/veya para cezası ile sonuçlanabilir ve mağdurların zararının tazmini gerekebilir.","Sanık, bir finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, haksız kazanç elde etme, hile ve haksız kazanç elde etme suçlamaları gündeme gelir.",
